52474462,160
52474466,160
52475997,8
52475998,8
52476504,8
52476505,8
52476534,8
52476535,8
52476565,8
52476566,8
52476596,8
52476597,8
52476627,8
52476628,8
52476657,8
52476658,8
52476688,8
52476689,8
52476719,8
52476721,8
52476750,8
52476751,8
52476780,8
52476783,8
52476811,8
52476814,8
52476842,8
52476844,8
52476873,8
52476874,8
52477026,164
52477028,164
52477216,160
52477217,160
52494495,160
52494497,160
52494828,76
52495145,70
52502963,72
52502965,72
52503132,77
52503134,77
52503250,90
52503252,90
52503352,32
52503354,32
52503711,160
52503713,160
52504064,85
52504066,85
52504202,72
52504204,72
52504427,84
52504430,84
52504545,188
52504547,188
52504827,89
52504829,89
52505180,8
52505182,8
52505329,8
52505361,8
52505462,8
52505463,8
52505610,8
52505612,8
52506219,72
52506221,72
52506388,84
52506390,84
52507673,188
52507675,188
52508042,89
52508044,89
52508183,84
52508184,84
52508457,68
52508458,68
52508651,70
52508653,70
52538011,160
52538011,160
52538198,90
52538198,90
52543783,160
52543783,160
52546093,160
52546093,160
52552570,8
52552570,8
52552726,8
52552742,8
52552882,8
52552882,8
52553038,8
52553038,8
52553163,8
52553163,8
52554021,32
52554021,32
52554520,164
52554520,164
52554692,160
52554692,160
52555097,8
52555097,8
52555518,160
52555518,160
52555768,90
52555768,90
52555971,32
52555971,32
52556720,8
52556735,8
52557000,160
52557000,160
52557188,191
52557188,191
52590794,32
52590794,32
52591403,67
52591403,67
52591855,75
52591855,75
52592073,69
52592073,69
52592276,73
52592276,73
52592432,70
52592448,70
52592588,78
52592588,78
52592791,84
52592791,84
52592900,75
52592900,75
52593041,77
52593041,77
52593337,32
52593337,32
52593680,82
52593680,82
52593899,69
52593899,69
52594148,72
52594164,72
52594367,67
52594367,67
52594569,70
52594569,70
52594663,32
52594663,32
52595115,160
52595115,160
52595365,71
52595365,71
52595583,74
52595583,74
52595755,72
52595755,72
52595927,78
52595927,78
52596083,70
52596083,70
52596223,75
52596223,75
52596332,70
52596332,70
52596441,32
52596457,32
52596894,8
52596894,8
52597128,160
52597143,160
52597549,191
52597549,191
52597752,32
52597752,32
52597955,71
52597955,71
52598048,72
52598048,72
52598222,66
52598224,66
52598622,67
52598622,67
52598840,74
52598840,74
52599355,84
52599355,84
52599495,76
52599495,76
52599729,66
52599729,66
52599932,89
52599932,89
52600088,90
52600088,90
52600431,190
52600431,190
52600743,67
52600743,67
52600931,77
52600931,77
52601055,32
52601055,32
52601679,82
52601679,82
52601789,32
52601789,32
52602288,82
52602303,82
52602491,74
52602506,74
52602709,85
52602725,85
52602865,74
52602865,74
52603068,72
52603068,72
52603239,78
52603239,78
52603427,84
52603427,84
52603536,32
52603536,32
52603957,67
52603957,67
52604191,75
52604191,75
52604331,69
52604331,69
52604550,73
52604550,73
52604659,70
52604659,70
52604799,78
52604799,78
52604940,84
52604955,84
52605096,75
52605096,75
52605221,84
52605221,84
52605595,81
52605595,81
52606157,160
52606157,160
52606581,191
52606581,191
52606752,32
52606768,32
52607033,74
52607049,74
52607127,67
52607142,67
52607486,8
52607486,8
52607610,8
52607610,8
52607735,67
52607735,67
52607891,74
52607891,74
52608063,85
52608078,85
52608250,75
52608250,75
52608390,70
52608390,70
52608578,67
52608609,67
52608765,89
52608765,89
52608968,83
52608968,83
52609623,219
52609623,219
52609919,32
52609919,32
52610044,67
52610044,67
52610138,32
52610138,32
52610387,82
52610387,82
52610481,74
52610481,74
52610699,76
52610699,76
52610918,84
52610918,84
52611245,82
52611245,82
52611495,67
52611495,67
52611682,74
52611682,74
52611776,86
52611776,86
52611900,32
52611900,32
52612290,88
52612290,88
52612602,84
52612602,84
52612821,67
52612821,67
52612977,78
52612977,78
52613180,66
52613180,66
52613351,32
52613351,32
52613570,66
52613570,66
52613726,32
52613726,32
52614069,85
52614069,85
52614194,70
52614194,70
52614318,72
52614318,72
52614443,70
52614459,70
52614615,89
52614615,89
52614818,78
52614818,78
52614989,66
52614989,66
52615176,72
52615176,72
52615379,69
52615379,69
52615894,190
52615894,190
52616190,160
52616190,160
52616268,191
52616268,191
52616690,32
52616690,32
52616970,88
52616970,88
52617111,78
52617111,78
52617298,74
52617298,74
52617470,32
52617470,32
52617563,90
52617563,90
52617672,32
52617672,32
52618156,67
52618156,67
52618406,70
52618406,70
52618577,86
52618577,86
52618733,32
52618733,32
52619061,68
52619061,68
52619310,83
52619310,83
52619576,71
52619576,71
52619700,74
52619700,74
52619888,75
52619888,75
52620122,89
52620122,89
52620262,90
52620262,90
