"id","key1","key2","dtime"
12,160,160,1
12,160,188,212
12,188,188,1
12,188,69,767
12,69,69,1
12,69,67,215
12,67,67,1
12,67,83,185
12,83,83,1
12,83,85,123
12,85,66,189
12,66,66,1
12,66,89,144
12,89,32,244
12,32,32,1
12,32,160,72
12,160,160,1
12,160,160,241
12,160,160,32
12,160,160,1
12,160,160,31
12,160,160,32
12,160,160,32
12,160,160,31
12,160,160,1
12,160,69,26
12,69,69,1
12,69,74,272
12,74,8,460
12,8,8,1
12,8,8,145
12,8,160,146
12,160,160,1
12,160,160,246
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,32
12,160,160,1
12,160,160,30
12,160,160,1
12,160,160,31
12,160,160,1
12,160,82,10
12,82,74,217
12,74,74,1
12,74,89,191
12,89,89,1
12,89,67,157
12,67,78,126
12,78,70,146
12,70,70,1
12,70,89,77
12,89,89,1
12,89,78,288
12,78,78,1
12,78,66,115
12,66,66,1
12,66,89,123
12,160,160,1
12,160,160,223
12,160,160,1
12,160,90,3
12,90,90,1
12,90,160,802
12,160,160,1
12,160,160,247
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,188,18
12,188,188,1
12,188,32,216
12,32,67,250
12,67,75,144
12,75,69,84
12,69,73,153
12,73,73,1
12,73,70,115
12,70,78,140
12,78,84,136
12,84,84,1
12,84,75,137
12,75,77,198
12,77,77,1
12,77,32,185
12,32,32,1
12,32,82,120
12,82,82,1
12,82,69,177
12,69,69,1
12,69,72,120
12,72,72,1
12,72,67,158
12,67,67,1
12,67,70,190
12,70,70,1
12,70,32,171
12,32,32,1
12,32,160,172
12,160,160,1
12,160,71,142
12,71,74,199
12,74,72,184
12,72,72,1
12,72,78,164
12,78,78,1
12,78,70,158
12,70,70,1
12,70,75,224
12,75,75,2
12,75,70,380
12,70,70,1
12,70,160,211
12,160,160,1
12,160,160,244
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,188,20
12,188,188,1
12,188,32,319
12,32,32,2
12,32,71,383
12,71,71,2
12,71,72,82
12,72,72,1
12,72,66,191
12,66,66,2
12,66,67,104
12,67,67,1
12,67,74,120
12,74,74,1
12,74,84,140
12,84,84,1
12,84,76,135
12,76,76,1
12,76,66,138
12,66,66,1
12,66,89,152
12,89,89,1
12,89,90,190
12,90,190,366
12,190,190,1
12,190,67,167
12,67,67,1
12,67,77,146
12,77,77,1
12,77,32,816
12,32,32,1
12,32,82,153
12,82,82,1
12,82,32,163
12,32,32,1
12,32,82,194
12,82,82,1
12,82,74,141
12,74,74,1
12,74,85,189
12,85,74,300
12,74,72,220
12,72,72,1
12,72,78,188
12,78,78,1
12,78,84,116
12,84,84,1
12,84,32,894
12,32,32,1
12,32,67,255
12,67,67,1
12,67,75,193
12,75,75,1
12,75,69,115
12,69,69,1
12,69,73,150
12,73,70,114
12,70,78,158
12,78,78,1
12,78,84,80
12,84,75,198
12,75,75,1
12,75,84,75
12,84,81,275
12,81,81,1
12,81,160,276
12,160,160,1
12,160,160,245
12,160,190,6
12,190,190,1
12,190,8,1524
12,8,8,1
12,8,160,234
12,160,160,1
12,160,160,246
12,160,188,3
12,188,188,1
12,188,32,722
12,32,32,2
12,32,67,574
12,67,67,1
12,67,74,182
12,74,74,1
12,74,85,230
12,85,75,426
12,75,70,223
12,70,67,196
12,67,89,108
12,89,89,1
12,89,83,134
12,83,83,1
12,83,219,198
12,219,32,521
12,32,32,1
12,32,67,152
12,67,67,1
12,67,32,138
12,32,32,1
12,32,82,148
12,82,82,1
12,82,74,129
12,74,74,1
12,74,76,265
12,76,76,1
12,76,84,92
12,84,84,1
12,84,82,164
12,82,82,1
12,82,67,216
12,67,74,157
12,74,74,1
12,74,86,181
12,86,86,2
12,86,32,229
12,32,88,383
12,88,88,1
12,88,84,211
12,84,67,212
12,67,78,109
12,78,78,1
12,78,66,193
12,66,66,1
12,66,32,183
12,32,32,1
12,32,66,155
12,66,66,1
12,66,32,161
12,32,32,1
12,32,85,275
12,85,85,1
12,85,70,471
12,70,72,155
12,72,70,132
12,70,89,140
12,89,89,1
12,89,78,218
12,78,66,109
12,66,72,586
12,72,72,1
12,72,69,105
12,69,69,1
12,69,190,242
12,190,190,1
12,190,160,441
12,160,160,244
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,32
12,160,160,32
12,160,160,32
12,160,188,26
12,188,32,198
12,32,32,1
12,32,88,308
12,88,88,1
12,88,78,127
12,78,78,1
12,78,74,174
12,74,74,1
12,74,32,164
12,32,32,1
12,32,90,165
12,90,32,136
12,32,32,1
12,32,67,152
12,67,67,1
12,67,70,259
12,70,70,1
12,70,86,200
12,86,86,1
12,86,32,177
12,32,32,1
12,32,68,159
12,68,68,1
12,68,83,202
12,83,71,210
12,71,71,1
12,71,74,106
12,74,74,1
12,74,75,164
12,75,75,1
12,75,89,190
12,89,89,1
12,89,90,165
12,90,90,1
12,90,190,661
12,190,190,1
12,190,32,204
12,32,222,513
12,222,78,311
12,78,78,1
12,78,74,215
12,74,32,160
12,32,32,1
12,32,79,306
12,79,79,1
12,79,8,611
12,8,8,1
12,8,80,269
12,80,80,1
12,80,70,159
12,70,70,1
12,70,76,109
12,76,76,1
12,76,70,123
12,70,70,1
12,70,89,147
12,89,66,205
12,66,84,125
12,84,84,1
12,84,160,672
12,160,160,1
12,160,160,246
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,160,31
12,160,160,1
12,160,188,25
12,188,188,1
12,188,32,822
12,32,32,1
12,32,188,307
12,188,188,1
12,188,188,1083
12,188,188,1
12,188,84,262
12,84,84,1
12,84,80,109
12,80,80,1
12,80,32,326
12,32,32,1
12,32,71,721
12,71,71,1
12,71,74,89
12,74,74,1
12,74,86,151
12,86,86,1
12,86,74,172
12,74,74,1
12,74,79,279
12,79,66,207
12,66,32,354
12,32,32,1
12,32,66,186
12,66,32,189
12,32,71,660
12,71,71,1
12,71,74,135
12,74,76,229
12,76,76,1
12,76,67,115
12,67,82,197
12,82,82,1
12,82,70,217
12,70,70,1
12,70,80,163
12,80,74,284
12,74,74,1
12,74,82,165
12,82,32,287
12,32,32,1
12,32,66,240
12,66,66,1
12,66,80,453
12,80,80,1
12,80,68,267
12,68,68,1
12,68,89,456
12,89,89,1
12,89,84,188
12,84,84,1
12,84,32,224
12,32,32,1
12,32,66,239
12,66,66,1
12,66,32,254
12,32,32,1
12,32,188,365
12,188,188,1
12,188,70,196
12,70,75,182
12,75,75,224
12,75,75,1
12,75,75,1032
12,75,32,179
12,32,32,1
12,32,80,245
12,80,70,230
12,70,70,1
12,70,32,486
12,32,32,1
12,32,76,501
12,76,76,1
12,76,70,120
12,70,70,1
12,70,89,169
12,89,89,1
12,89,89,146
12,89,83,116
12,83,83,1
12,83,81,207
12,81,81,1
12,81,32,224
12,32,78,220
12,78,78,1
12,78,84,112
12,84,84,1
12,84,82,223
12,82,8,702
12,8,67,320
12,67,78,164
12,78,82,124
12,82,82,1
12,82,32,657
12,32,32,1
12,32,71,542
12,71,71,12
12,71,74,72
12,74,74,1
12,74,82,129
12,82,82,1
12,82,70,180
12,70,70,1
12,70,80,152
12,80,80,1
12,80,83,146
12,83,83,1
12,83,68,222
12,68,68,1
12,68,70,207
12,70,70,1
12,70,84,804
12,84,84,1
12,84,78,174
12,78,78,1
12,78,32,265
12,32,66,559
12,66,66,1
12,66,86,193
12,86,86,1
12,86,84,187
12,84,84,1
12,84,89,101
12,89,89,1
12,89,89,157
12,89,89,1
12,89,74,232
12,74,32,194
12,32,32,1
12,32,86,131
12,86,74,127
12,74,84,164
12,84,84,1
12,84,32,146
12,32,80,768
12,80,80,1
12,80,89,279
12,89,89,1
12,89,70,81
12,70,89,181
12,89,66,214
12,66,66,1
12,66,84,133
12,84,84,1
12,84,32,160
12,32,71,338
12,71,71,1
12,71,72,521
12,72,72,1
12,72,84,148
12,84,76,296
12,76,76,1
12,76,86,192
12,86,86,1
12,86,84,186
12,84,84,1
12,84,78,131
12,78,78,1
12,78,70,136
12,70,70,1
12,70,111,621
