"id","key1","key2","dtime"
26,20,90,281
26,90,20,78
26,20,161,499
26,161,191,47
26,191,8,468
26,8,8,172
26,8,160,327
26,160,164,78
26,164,20,407
26,20,90,203
26,90,20,125
26,20,20,450
26,20,90,257
26,90,20,218
26,20,161,312
26,161,191,94
26,191,32,858
26,32,67,297
26,67,75,375
26,75,69,140
26,69,73,546
26,73,70,125
26,70,78,281
26,78,84,109
26,84,75,187
26,75,77,250
26,32,82,203
26,82,69,140
26,69,72,110
26,72,67,298
26,67,70,172
26,70,32,280
26,32,20,422
26,20,71,109
26,71,20,93
26,20,74,47
26,74,72,595
26,72,78,218
26,78,70,110
26,70,75,218
26,75,70,156
26,70,32,172
26,32,8,655
26,8,161,281
26,161,191,78
26,32,71,156
26,71,72,141
26,72,66,156
26,66,67,156
26,67,74,124
26,74,84,203
26,84,76,187
26,76,66,141
26,66,89,608
26,89,90,172
26,90,190,1045
26,190,67,140
26,67,77,141
26,77,32,109
26,32,82,374
26,82,32,110
26,32,82,327
26,82,74,125
26,74,85,203
26,85,74,312
26,74,72,218
26,72,78,265
26,78,84,110
26,84,32,280
26,32,67,422
26,67,75,312
26,75,69,156
26,69,73,187
26,73,70,140
26,70,78,967
26,78,84,172
26,84,75,250
26,75,84,124
26,84,81,203
26,81,32,125
26,32,8,343
26,8,161,437
26,161,191,62
26,191,32,250
26,32,67,546
26,67,74,187
26,74,85,265
26,85,76,796
26,76,70,140
26,70,8,515
26,8,8,173
26,8,75,530
26,75,70,577
26,70,67,188
26,67,89,234
26,89,83,171
26,83,219,546
26,219,32,172
26,32,67,171
26,67,32,125
26,32,82,281
26,82,74,187
26,74,76,250
26,76,84,109
26,84,82,172
26,82,67,156
26,67,74,171
26,74,86,203
26,86,32,174
26,32,88,171
26,88,84,203
26,84,67,172
26,67,78,109
26,78,66,171
26,66,32,125
26,32,66,156
26,66,32,156
26,32,85,125
26,85,70,484
26,70,72,171
26,72,70,109
26,70,89,297
26,89,78,218
26,78,66,172
26,66,72,343
26,72,69,187
26,69,190,219
26,190,32,265
26,32,220,374
26,220,8,390
26,8,8,156
26,8,161,297
26,161,191,46
26,191,32,203
26,32,88,406
26,88,78,171
26,78,74,203
26,74,32,125
26,32,90,140
26,90,32,125
26,32,67,283
26,67,70,187
26,70,86,156
26,86,32,125
26,32,68,187
26,68,68,375
26,68,8,376
26,8,83,109
26,83,71,250
26,71,74,249
26,74,75,219
26,75,89,265
26,89,90,94
26,90,190,858
26,190,32,140
26,32,222,624
26,222,78,714
26,78,74,187
26,74,32,109
26,32,80,328
26,80,70,125
26,70,76,265
26,76,70,109
26,70,85,265
26,85,89,16
26,89,8,421
26,8,8,172
26,8,89,515
26,89,66,187
26,66,84,125
26,84,161,327
26,161,191,94
26,191,32,203
26,32,188,296
26,188,84,577
